state,commodity,avg_modal_price,market_entries
Nagaland,Onion,5054.16,757
Manipur,Onion,4903.6,583
"Tamil Nadu",Onion,4708.18,30793
Kerala,Onion,4684.35,24334
Tripura,Onion,4402.27,11
Meghalaya,Onion,4251.02,49
Bihar,Onion,3824.2,5681
Odisha,Onion,3238.46,8137
"Jammu and Kashmir",Onion,3040.88,2771
"West Bengal",Onion,2967.65,19478
"Himachal Pradesh",Onion,2927.57,9617
Chhattisgarh,Onion,2591.05,1921
Punjab,Onion,2423.06,18629
Assam,Onion,2326.89,1468
Chandigarh,Onion,2290.4,427
Karnataka,Onion,2278.19,6349
"Andhra Pradesh",Onion,2272.13,3879
Delhi,Onion,2249.78,1575
"Uttar Pradesh",Onion,2216.17,70268
Haryana,Onion,2192.62,26728
Maharashtra,Onion,2101.67,26755
Rajasthan,Onion,2060.3,12210
Gujarat,Onion,2028.4,8460
"Madhya Pradesh",Onion,1566.89,17506
Uttarakhand,Onion,1322.0,10
"Tamil Nadu",Potato,4552.11,35785
Kerala,Potato,4199.88,19297
Nagaland,Potato,3945.46,2099
Meghalaya,Potato,3284.43,690
Manipur,Potato,3004.09,672
"Andhra Pradesh",Potato,2424.17,5047
Odisha,Potato,2354.74,11038
Karnataka,Potato,2230.83,5191
Chhattisgarh,Potato,2024.69,2259
Goa,Potato,1950.0,4
Bihar,Potato,1907.52,6597
Maharashtra,Potato,1849.67,13518
"Himachal Pradesh",Potato,1757.09,11336
Gujarat,Potato,1742.38,10274
"West Bengal",Potato,1721.33,28535
"Jammu and Kashmir",Potato,1643.54,3220
Assam,Potato,1434.86,1956
Delhi,Potato,1427.69,1562
Rajasthan,Potato,1358.57,13806
"Uttar Pradesh",Potato,1357.86,85571
Chandigarh,Potato,1218.09,470
Haryana,Potato,1211.09,33638
"Madhya Pradesh",Potato,1195.72,10076
Punjab,Potato,1119.09,24400
Uttarakhand,Potato,1093.2,25
Delhi,Rice,5525.33,18
Gujarat,Rice,5509.79,48
Manipur,Rice,5245.9,61
Kerala,Rice,4740.79,76
"Andhra Pradesh",Rice,4608.49,106
Maharashtra,Rice,4026.26,491
"West Bengal",Rice,4002.72,2133
Odisha,Rice,3838.33,60
Karnataka,Rice,3657.14,355
"Himachal Pradesh",Rice,3241.79,78
"Uttar Pradesh",Rice,3229.15,4196
Assam,Rice,3162.4,96
Rajasthan,Rice,3126.73,55
Uttarakhand,Rice,2855.0,8
Meghalaya,Tomato,9588.73,71
Nagaland,Tomato,6886.54,156
Kerala,Tomato,6789.9,1863
Odisha,Tomato,6619.32,1398
Bihar,Tomato,6433.33,6
"West Bengal",Tomato,6142.69,1509
"Jammu and Kashmir",Tomato,5132.62,234
Gujarat,Tomato,5090.86,805
Maharashtra,Tomato,4872.23,1968
Karnataka,Tomato,4647.35,1414
"Himachal Pradesh",Tomato,4606.05,1040
Assam,Tomato,4519.2,119
"Andhra Pradesh",Tomato,4348.25,562
Delhi,Tomato,4105.97,134
Haryana,Tomato,3909.96,2846
Chandigarh,Tomato,3819.23,52
"Uttar Pradesh",Tomato,3731.36,7625
Rajasthan,Tomato,3428.41,1260
Chhattisgarh,Tomato,3231.2,133
Punjab,Tomato,3066.18,1722
"Madhya Pradesh",Tomato,2927.0,1656
Kerala,Wheat,4400.0,4
Karnataka,Wheat,3193.8,1082
Maharashtra,Wheat,2610.27,9081
"West Bengal",Wheat,2596.93,2266
Delhi,Wheat,2532.19,424
Gujarat,Wheat,2515.98,7062
Bihar,Wheat,2431.03,170
"Madhya Pradesh",Wheat,2380.86,26590
Rajasthan,Wheat,2359.43,8439
"Uttar Pradesh",Wheat,2353.47,19981
Assam,Wheat,2341.44,459
"Himachal Pradesh",Wheat,2278.27,764
Chhattisgarh,Wheat,2200.21,539
Haryana,Wheat,2179.43,7
"Andhra Pradesh",Wheat,2158.27,22
Uttarakhand,Wheat,2150.0,3
Punjab,Wheat,2130.0,2
